sample_name,C15-C15gs-C15ai,C15-C15by-C15ev-C15kl,C15-C15ev-C15dt,C15-C15ev-C15dt-C15pm,C15/C93a,C91h,C15-C15rz-C15sa-C15m,C91,C15-C15gs,D4/D17f-D17at
ARM01-2,85812,0,0,0,0,0,0,0,0,0
ARM01-5,88997,0,0,0,0,0,0,0,0,0
ARM01-8,86834,0,0,0,0,0,0,0,0,0
ARM01-3,94593,0,0,0,0,0,0,0,0,0
ARM09-8,84830,0,0,0,0,0,0,0,0,0
ARM01-7,84236,0,0,0,0,0,0,0,0,0
ARM09-2,0,102006,0,0,0,0,0,0,0,0
ARM09-3,0,92089,0,0,0,0,0,0,0,0
ARM09-1,0,87501,0,0,0,0,0,0,0,0
ARM09-5,0,0,89132,0,0,0,0,0,0,0
ARM09-6,0,0,92366,0,0,0,0,0,0,0
ARM09-4,0,0,0,93536,0,0,0,0,0,0
ARM09-7,0,0,0,102604,0,0,0,0,0,358
ARM01-4,0,0,0,0,50197,5210,0,5305,0,0
ARM01-1,0,0,0,0,0,0,89689,0,0,0
ARM01-6,0,0,0,0,0,0,0,0,79790,0
