sample_name,C15-C15gs-C15ai,C15-C15by-C15ev-C15kl,C15-C15ev-C15dt,C15-C15ev-C15dt-C15pm,C15/C93a,C91h,C15-C15rz-C15sa-C15m,C91,C15-C15gs,D4/D17f-D17at
ARM01-2,0.933449364,0,0,0,0,0,0,0,0,0
ARM01-5,0.92490361,0,0,0,0,0,0,0,0,0
ARM01-8,0.923137438,0,0,0,0,0,0,0,0,0
ARM01-3,0.900568371,0,0,0,0,0,0,0,0,0
ARM09-8,0.896912667,0,0,0,0,0,0,0,0,0
ARM01-7,0.887488806,0,0,0,0,0,0,0,0,0
ARM09-2,0,0.94066765,0,0,0,0,0,0,0,0
ARM09-3,0,0.930690167,0,0,0,0,0,0,0,0
ARM09-1,0,0.930277804,0,0,0,0,0,0,0,0
ARM09-5,0,0,0.956916635,0,0,0,0,0,0,0
ARM09-6,0,0,0.95666494,0,0,0,0,0,0,0
ARM09-4,0,0,0,0.966320922,0,0,0,0,0,0
ARM09-7,0,0,0,0.957931099,0,0,0,0,0,0.00334236
ARM01-4,0,0,0,0,0.567460631,0.058897342,0,0.05997129,0,0
ARM01-1,0,0,0,0,0,0,0.937630025,0,0,0
ARM01-6,0,0,0,0,0,0,0,0,0.895661447,0
