sample_name,A3,907862_A,A3q,363617_A,22453_A,25425_A,1327027_A,820993_A,364364_A,A3cr,6551865_A,C15,C15gs,C15by,C15dt,C15ev,C93a,C15yj,C15bn,C15rz,C15ma,3709002_C,C15gk,C91,C91h,C15ai,C15acx,1597_C,C15sa,C15m,C15adl,862287_C,C15wu,11161_C,197054_C,C15pm,C91k,238021_C,C15kl,3969245_C,C15fh,21851_C,1167508_C,651710_C,C15ab,21580_C,14189_C,C15nw,C15he,862290_C,32296_C,199087_C,6551866_C,D4,D17f,D17bj,D9e,D17at,D5m,D17ai,D4ar,445110_D,1894460_D,1886948_D,D6,D6z,D17bk,26037_D,D17aj,702847_D,1894993_D,1894461_D,D17k,937_D,26024_D,D1
ARM01-2,0,0,0,0,0,0,0,0,0,0,0,74125,11105,1148,672,0,0,0,943,0,1004,0,452,0,0,582,768,0,0,0,0,606,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM01-5,23,81,10,9,8,7,7,6,0,5,4,78314,9959,1094,743,604,0,0,1013,0,1345,0,437,0,0,724,720,0,0,0,0,673,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM01-8,0,0,0,0,0,0,0,0,0,0,0,75598,10686,1674,805,715,0,0,1195,0,540,0,645,0,0,550,544,0,0,0,553,0,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM01-3,10,0,0,0,0,0,0,0,0,0,0,76741,17283,2037,573,685,0,0,1279,0,638,0,500,0,0,569,841,0,0,0,1127,801,0,0,969,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM09-8,0,5,0,0,0,0,0,0,0,0,0,68390,15858,1637,0,630,0,0,994,0,1192,0,0,0,0,582,810,0,0,0,1033,817,0,0,789,0,0,0,0,0,488,0,0,0,515,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM01-7,0,0,0,0,0,0,0,0,0,0,0,66889,16901,2055,482,635,0,0,1044,0,1114,0,0,0,0,446,808,0,0,0,944,793,0,0,824,0,0,0,0,1019,453,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM09-2,51,5,0,0,0,0,0,0,6,0,0,97601,0,1765,1743,1844,0,0,0,0,0,538,782,0,0,696,0,0,0,0,0,0,641,0,0,782,0,657,796,0,0,0,0,0,0,0,0,0,512,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4
ARM09-3,0,0,0,0,0,0,0,0,0,0,0,88175,0,1782,1637,1447,0,0,0,0,0,1428,646,0,0,684,0,0,0,0,0,0,544,0,0,775,0,0,685,0,0,0,0,0,0,0,0,542,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM09-1,49,12,0,0,0,0,0,0,0,0,0,83803,0,1602,1451,1334,0,0,0,0,0,1351,636,0,0,649,0,0,0,0,0,0,530,0,0,707,0,671,762,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM09-5,0,0,0,0,0,0,0,0,0,0,0,86437,0,1408,1391,1304,0,0,0,0,0,747,559,0,0,0,0,0,0,0,0,0,502,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
