sample_name,A3,907862_A,A3q,363617_A,22453_A,25425_A,1327027_A,820993_A,364364_A,A3cr,6551865_A,C15,C15gs,C15by,C15dt,C15ev,C93a,C15yj,C15bn,C15rz,C15ma,3709002_C,C15gk,C91,C91h,C15ai,C15acx,1597_C,C15sa,C15m,C15adl,862287_C,C15wu,11161_C,197054_C,C15pm,C91k,238021_C,C15kl,3969245_C,C15fh,21851_C,1167508_C,651710_C,C15ab,21580_C,14189_C,C15nw,C15he,862290_C,32296_C,199087_C,6551866_C,D4,D17f,D17bj,D9e,D17at,D5m,D17ai,D4ar,445110_D,1894460_D,1886948_D,D6,D6z,D17bk,26037_D,D17aj,702847_D,1894993_D,1894461_D,D17k,937_D,26024_D,D1
ARM01-2,0,0,0,0,0,0,0,0,0,0,0,0.8063200261068204,0.12079843359077559,0.012487762427934299,0.00730991,0,0,0,0.010257805,0,0.010921353203524421,0,0.004916785,0,0,0.006330904,0.008354183,0,0,0,0,0.006591972,0,0,0,0,0,0,0,0,0.005710867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM01-5,0.000239028,0.000841795,0.000103925,9.353273125967804e-05,8.314020556415826e-05,7.274767986863848e-05,7.274767986863848e-05,6.23551541731187e-05,0,5.196262847759891e-05,4.157010278207913e-05,0.8138802573189362,0.10349916340168151,0.011369423110898641,0.007721647,0.006277086,0,0,0.010527629,0,0.013977947060474108,0,0.004541534,0,0,0.007524189,0.007482619,0,0,0,0,0.00699417,0.004541534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM01-8,0,0,0,0,0,0,0,0,0,0,0,0.803686852,0.11360350399727845,0.017796394,0.008558003,0.007601208,0,0,0.012704116346317402,0,0.005740772,0,0.006857034,0,0,0.005847083,0.005783296,0,0,0,0.005878976,0,0,0,0.005942762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM01-3,9.520454696916325e-05,0,0,0,0,0,0,0,0,0,0,0.7306092138960557,0.16454201852680483,0.019393166217618555,0.005455221,0.006521511,0,0,0.012176662,0,0.00607405,0,0.004760227,0,0,0.005417139,0.008006702,0,0,0,0.010729552443424698,0.007625884,0,0,0.009225321,0,0,0,0,0.009368127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM09-8,0,5.286529921759357e-05,0,0,0,0,0,0,0,0,0,0.7230915626982449,0.16766758299851978,0.017308098963840134,0,0.006661028,0,0,0.010509621484457603,0,0.012603087333474308,0,0,0,0,0.006153521,0.008564178,0,0,0,0.010921970818354831,0.00863819,0,0,0.008342144,0,0,0,0,0,0.005159653,0,0,0,0.005445126,0,0,0,0,0.00888137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM01-7,0,0,0,0,0,0,0,0,0,0,0,0.7047252805141442,0.17806458410156456,0.021650950850761207,0.005078228,0.006690196,0,0,0.010999315,0,0.011736817,0,0,0,0,0.004698941,0.00851288,0,0,0,0.009945741,0.008354844,0,0,0.008681452,0,0,0,0,0.010735921614075753,0.004772691,0,0,0,0.005352157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM09-2,0.000470306,4.610844706750277e-05,0,0,0,0,0,0,5.533013648100332e-05,0,0,0.9000461084470674,0,0.016276281814828476,0.016073404647731465,0.017004795278495022,0,0,0,0,0,0.004961269,0.007211361,0,0,0.006418296,0,0,0,0,0,0,0.005911103,0,0,0.007211361,0,0.00605865,0.007340465,0,0,0,0,0,0,0,0,0,0.004721505,0,0,0,0,6.455182589450387e-05,0,0,0,0,0,0,0,0,0,0,9.221689413500554e-05,0,0,0,0,0,0,0,0,0,0,3.688675765400221e-05
ARM09-3,0,0,0,0,0,0,0,0,0,0,0,0.891133637,0,0.018009641525260998,0.016544210536954127,0.014623990621241674,0,0,0,0,0,0.014431969,0.006528748,0,0,0.006912792,0,0,0,0,0,0,0.005497893,0,0,0.007832476,0,0,0.006922898,0,0,0,0,0,0,0,0,0.00547768,0.006084065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM09-1,0.00052095,0.000127579,0,0,0,0,0,0,0,0,0,0.8909620557309774,0,0.017031862979619176,0.015426488,0.014182587524851423,0,0,0,0,0,0.014363325146982213,0.006761713,0,0,0.006899925,0,0,0,0,0,0,0.005634761,0,0,0.007516559,0,0.00713382,0.008101298,0,0,0,0,0,0,0,0,0.005337076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM09-5,0,0,0,0,0,0,0,0,0,0,0,0.927983252,0,0.015116216651457405,0.014933705512909979,0.013999677921520211,0,0,0,0,0,0.008019754,0.006001396,0,0,0,0,0,0,0,0,0,0.005389447,0,0,0,0,0.008556552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
